"api_family","section","endpoint_name","method","documented_url","endpoint_key","parigo_relevance","audit_execution","evidence_source","rationale"
"Public API","Public API > Member Management > Profile","Remove Member Image","POST","{HM_ServiceAPI_URL}/removeassignedupload/{HM_ServiceAPI_MemberToken}","removeassignedupload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Profile","Remove Member","POST","{HM_ServiceAPI_URL}/removememberverifypassword/{HM_ServiceAPI_MemberToken}","removememberverifypassword","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Reset Password","Send Reset Password Email","POST","{HM_ServiceAPI_URL}/sendpasswordresetemail/{HM_ServiceAPI_Token}","sendpasswordresetemail","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Reset Password","Validate Reset Password Token","GET","{HM_ServiceAPI_URL}/validatepasswordresettoken/{HM_ServiceAPI_Token}/{ResetToken}","validatepasswordresettoken","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Reset Password","Update Member Password (Reset)","POST","{HM_ServiceAPI_URL}/updatepasswordusingtoken/{HM_ServiceAPI_Token}","updatepasswordusingtoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Subscribe","Subscribe Member","POST","{HM_ServiceAPI_URL}/membersubscribe/{HM_ServiceAPI_MemberToken}","membersubscribe","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Management > Member Groups","Validate Verify Member Group Approval Token","GET","{HM_ServiceAPI_URL}/validatemembergroupmemberapprovaltoken/{HM_ServiceAPI_Token}/{VerifyMemberGroupApprovalToken}","validatemembergroupmemberapprovaltoken","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Verify Member Group Approval","POST","{HM_ServiceAPI_URL}/verifymembergroupmemberapproval/{HM_ServiceAPI_Token}","verifymembergroupmemberapproval","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Get Member Group Regions","GET","{HM_ServiceAPI_URL}/getmembergroupregions/{HM_ServiceAPI_MemberToken}/{MemberGroupID}","getmembergroupregions","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Update Member Group Region","POST","{HM_ServiceAPI_URL}/updatemembergroupregion/{HM_ServiceAPI_MemberToken}/{MemberGroupID}","updatemembergroupregion","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Get Member Group Productions","GET","{HM_ServiceAPI_URL}/getmembergroupproductions/{HM_ServiceAPI_MemberToken}/{MemberGroupID}?sort={Sort}","getmembergroupproductions","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Categories","GET","{HM_ServiceAPI_URL}/getmembergroupproductioncategories/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductioncategories","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Categories & Playlists","GET","{HM_ServiceAPI_URL}/getmembergroupproductioncategoriesandplaylists/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&returntrackcount={ReturnTrackCount}&returnrootobjectsonly={ReturnRootObjectsOnly}&productioncategoryid={ProductionCategoryID}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductioncategoriesandplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Get Member Group Production Playlist & Tracks","GET","{HM_ServiceAPI_URL}/getmembergroupproductionplaylistandtracks/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}/{FeaturedPlaylistID}?returntracks={ReturnTracks}&includeinactive={IncludeInactive}&languagecode={LanguageCode}&skip={Skip}&limit={Limit}&sort={Sort}","getmembergroupproductionplaylistandtracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Management > Member Groups","Search Member Group Production Playlist Tracks","POST","{HM_ServiceAPI_URL}/searchmembergroupproductionplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_MemberGroupID}/{HM_ServiceAPI_MemberGroupProductionID}/{HM_ServiceAPI_FeaturedPlaylistID}","searchmembergroupproductionplaylisttracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Create Member Playlist Category","POST","{HM_ServiceAPI_URL}/addmemberplaylistcategory/{HM_ServiceAPI_MemberToken}","addmemberplaylistcategory","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Update Member Playlist Category","POST","{HM_ServiceAPI_URL}/updatememberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}","updatememberplaylistcategory","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Get Member Playlist Categories","GET","{HM_ServiceAPI_URL}/getmemberplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort}","getmemberplaylistcategories","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Get Member Playlist Categories & Playlists","GET","{HM_ServiceAPI_URL}/getmemberplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}?returnplaylistcount={ReturnPlaylistCount}&returntrackcount={ReturnTrackCount}&returnrootobjectsonly={RootObjectsOnly}&returnautosaveonly={AutoSaveOnly}&returnfirstautosave={FirstAutoSaveOnly}&returnhighlightonly={ReturnHighlightOnly}&playlistcategoryid={PlaylistCategoryID}&skip={Skip}&limit={Limit}&sort={Sort}","getmemberplaylistcategoriesandplaylists","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Search Member Playlist Categories & Playlists","POST","{HM_ServiceAPI_URL}/searchmemberplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}","searchmemberplaylistcategoriesandplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Reorder Member Playlist Category","GET","{HM_ServiceAPI_URL}/reordermemberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}?OrderID={OrderID}","reordermemberplaylistcategory","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories","Remove Member Playlist Category","GET","{HM_ServiceAPI_URL}/removememberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}?keepChildren={keepChildren}&giveShareCopy={giveShareCopy}","removememberplaylistcategory","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Create Member Playlist","POST","{HM_ServiceAPI_URL}/addmemberplaylist/{HM_ServiceAPI_MemberToken}","addmemberplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Update Member Playlist","POST","{HM_ServiceAPI_URL}/updateplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}","updateplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Highlight Member Playlists","POST","{HM_ServiceAPI_URL}/highlightplaylists/{HM_ServiceAPI_MemberToken}","highlightplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","AutoSave Member Playlists","POST","{HM_ServiceAPI_URL}/autosaveplaylists/{HM_ServiceAPI_MemberToken}","autosaveplaylists","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Get Member Playlist Image Upload URL","POST","{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken}","getpresigneduploadurl","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Confirm Member Playlist Image Upload Complete","POST","{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken}","confirmpresignedupload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Remove Member Playlist Image","POST","{HM_ServiceAPI_URL}/removeassignedupload/{HM_ServiceAPI_MemberToken}","removeassignedupload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Get Member Playlists","GET","{HM_ServiceAPI_URL}/getmemberplaylistsnotracks/{HM_ServiceAPI_MemberToken}?Skip={Skip}&Limit={Limit}","getmemberplaylistsnotracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Get Member Playlists (Include Tracks)","GET","{HM_ServiceAPI_URL}/getmemberplaylists/{HM_ServiceAPI_MemberToken}?Skip={Skip}&Limit={Limit}","getmemberplaylists","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Get Member Playlist","GET","{HM_ServiceAPI_URL}/getmemberplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}?returntracks=true&returnpublishlocations=false","getmemberplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Reorder Member Playlist","GET","{HM_ServiceAPI_URL}/reordermemberplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}?movetoplaylistcategoryid={PlaylistCategoryID}&orderid={OrderID}","reordermemberplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Reorder Multiple Member Playlists","POST","{HM_ServiceAPI_URL}/reorderplaylists/{HM_ServiceAPI_MemberToken}","reorderplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Remove Member Playlist","GET","{HM_ServiceAPI_URL}/removeplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}","removeplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Archive Member Playlist","GET","{HM_ServiceAPI_URL}/archiveplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}","archiveplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Restore Archived Member Playlist","GET","{HM_ServiceAPI_URL}/restorearchiveplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}","restorearchiveplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Duplicate Member Playlist","POST","{HM_ServiceAPI_URL}/duplicatememberplaylist/{HM_ServiceAPI_MemberToken}","duplicatememberplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Copy Featured Playlist to Member Playlist","POST","{HM_ServiceAPI_URL}/copytomemberplaylist/{HM_ServiceAPI_MemberToken}","copytomemberplaylist","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists","Publish Member Playlist","POST","{HM_ServiceAPI_URL}/publishmemberplaylist/{HM_ServiceAPI_MemberToken}/{PlaylistID}","publishmemberplaylist","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Search Member Playlist Tracks","POST","{HM_ServiceAPI_URL}/searchmemberplaylisttracks/{HM_ServiceAPI_MemberToken}/{PlaylistID}","searchmemberplaylisttracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Compare Member Playlist Tracks","POST","{HM_ServiceAPI_URL}/filtermemberplaylisttracks/{HM_ServiceAPI_MemberToken}/{PlaylistID}","filtermemberplaylisttracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Add to Member Playlists","POST","{HM_ServiceAPI_URL}/addtomemberplaylists/{HM_ServiceAPI_MemberToken}","addtomemberplaylists","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Add Multiple Tracks to AutoSave Member Playlists","POST","{HM_ServiceAPI_URL}/addtrackstoautosaveplaylists/{HM_ServiceAPI_MemberToken}","addtrackstoautosaveplaylists","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Reorder Multiple Tracks in Member Playlist","POST","{HM_ServiceAPI_URL}/reordermemberplaylisttracks/{HM_ServiceAPI_MemberToken}","reordermemberplaylisttracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Remove Multiple Tracks from Member Playlist","POST","{HM_ServiceAPI_URL}/removeplaylisttracks/{HM_ServiceAPI_MemberToken}/{PlaylistID}","removeplaylisttracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Tracks","Suggest Member Playlist Tracks","POST","{HM_ServiceAPI_URL}/suggestmemberplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_NewMemberPlaylistID}","suggestmemberplaylisttracks","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Shares","Get Member Playlist Shares","GET","{HM_ServiceAPI_URL}/getmemberplaylistshares/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_NewMemberPlaylistID}?skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getmemberplaylistshares","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Shares","Update Member Playlist Share","POST","{HM_ServiceAPI_URL}/updatememberplaylistshare/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_MemberPlaylistShareID}","updatememberplaylistshare","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Shares","Remove Member Playlist Share","GET","{HM_ServiceAPI_URL}/removememberplaylistshare/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_MemberPlaylistShareID}?giveShareCopy={giveShareCopy}","removememberplaylistshare","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Search History","Get Member Playlist Search History","GET","{HM_ServiceAPI_URL}/getmemberplaylistsearches/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_NewMemberPlaylistID}?skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder}","getmemberplaylistsearches","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Schedule","Get Member Playlist Schedule","GET","{HM_ServiceAPI_URL}/getmemberplaylistschedule/{HM_ServiceAPI_MemberToken}/33da591b784f4330","getmemberplaylistschedule","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Schedule","Update Member Playlist Schedule","POST","{HM_ServiceAPI_URL}/updatememberplaylistschedule/{HM_ServiceAPI_MemberToken}/699cd3bbe22ff336","updatememberplaylistschedule","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Schedule","Remove Member Playlist Schedule","GET","{HM_ServiceAPI_URL}/deletememberplaylistschedule/{HM_ServiceAPI_MemberToken}/33da591b784f4330","deletememberplaylistschedule","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlist Schedule","Get Member Playlist Schedule Runs","GET","{HM_ServiceAPI_URL}/getmemberplaylistschedulerun/{HM_ServiceAPI_MemberToken}/{PlaylistID}?skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}","getmemberplaylistschedulerun","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists & Disco","Send Member Playlist To Disco","GET","{HM_ServiceAPI_URL}/sendtodisco/{HM_ServiceAPI_MemberToken}/{PlaylistID}?fileformatid={FileFormatID}","sendtodisco","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists & Disco","Share Member Playlist to Disco","POST","{HM_IntegrationAPI_URL}/sharetodisco/{HM_ServiceAPI_MemberToken}","sharetodisco","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Playlist Categories & Playlists > Playlists & Disco","Get Member Playlist Disco Send History","POST","{HM_ServiceAPI_URL}/getexternalsharestatushistory/{HM_ServiceAPI_MemberToken}","getexternalsharestatushistory","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Downloads","Validate Music Download","POST","{HM_ServiceAPI_URL}/validatemusicdownloadrequest/{HM_ServiceAPI_MemberToken}","validatemusicdownloadrequest","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Downloads","Get Music Download","POST","{HM_ServiceAPI_URL}/getmusicdownload/{HM_ServiceAPI_MemberToken}","getmusicdownload","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Downloads","Get Music Download Info","POST","{HM_ServiceAPI_URL}/getmusicdownloadinfo/{HM_ServiceAPI_Token}","getmusicdownloadinfo","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Favourites","Add Track/Album to Member Favourites","GET","{HM_ServiceAPI_URL}/addtofavourites/{HM_ServiceAPI_MemberToken}/{Type}/{ID}","addtofavourites","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Favourites","Get Member Favourites","GET","{HM_ServiceAPI_URL}/getfavourites/{HM_ServiceAPI_MemberToken}?Skip={Skip}&Limit={Limit}&Sort=Created_Desc","getfavourites","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Favourites","Remove Track from Member Favourites","GET","{HM_ServiceAPI_URL}/removefavouritestrack/{HM_ServiceAPI_MemberToken}/{TrackID}","removefavouritestrack","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Favourites","Remove All Tracks from Member Favourites","GET","{HM_ServiceAPI_URL}/removeallfavouritestracks/{HM_ServiceAPI_MemberToken}","removeallfavouritestracks","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Sharing","Authenticate Temporary Member","POST","{HM_ServiceAPI_URL}/getinvitedmembertoken/{HM_ServiceAPI_Token}","getinvitedmembertoken","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Sharing","Get Playlist Category Share URL","POST","{HM_ServiceAPI_URL}/getsharemusicurl/{HM_ServiceAPI_Token}","getsharemusicurl","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Sharing","Get Playlist Share URL","POST","{HM_ServiceAPI_URL}/getsharemusicurl/{HM_ServiceAPI_Token}","getsharemusicurl","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Sharing","Send Share Music Email","POST","{HM_ServiceAPI_URL}/sendsharemusiclinkemail/{HM_ServiceAPI_MemberToken}","sendsharemusiclinkemail","Adjacent capability","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Sharing","Deliver Share Music","POST","{HM_ServiceAPI_URL}/deliversharemusic/{HM_ServiceAPI_MemberToken}","deliversharemusic","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > Sharing","Get Playlist Folder & Playlist Share","GET","{HM_ServiceAPI_URL}/getsharemusic/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_EnageAccessToken}","getsharemusic","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Sharing","Accept Shared Music","GET","{HM_ServiceAPI_URL}/acceptsharemusic/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_EnageAccessToken}?acceptType={acceptType}","acceptsharemusic","Not required by current UI","Static only — outside current Parigo product","Harvest documentation snapshot","No current Parigo route or UI dependency found."
"Public API","Public API > Member Activity > History","Get Member Audition History","GET","{HM_ServiceAPI_URL}/gethistorybymembertoken/{HM_ServiceAPI_MemberToken}?startdate={startDate}&enddate={endDate}&skip={Skip}&limit={Limit}","gethistorybymembertoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > History","Get Member Download History","GET","{HM_ServiceAPI_URL}/getdownloadhistorybymembertoken/{HM_ServiceAPI_MemberToken}?startdate={startDate}&enddate={endDate}&skip={Skip}&limit={Limit}","getdownloadhistorybymembertoken","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > History","Get Member Communication History","POST","{HM_ServiceAPI_URL}/gethistorybycommunications/{HM_ServiceAPI_MemberToken}","gethistorybycommunications","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Tagging","Create Member Tag","POST","{HM_ServiceAPI_URL}/addmembertag/{HM_ServiceAPI_MemberToken}","addmembertag","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Tagging","Update Member Tag","POST","{HM_ServiceAPI_URL}/updatemembertag/{HM_ServiceAPI_MemberToken}/12340397b5f68cf0","updatemembertag","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Tagging","Add to Member Tags","POST","{HM_ServiceAPI_URL}/addtomembertags/{HM_ServiceAPI_MemberToken}","addtomembertags","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Tagging","Get Member Tags","GET","{HM_ServiceAPI_URL}/getmembertags/{HM_ServiceAPI_MemberToken}?Skip={Skip}&Limit={Limit}&Sort={Sort}","getmembertags","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
"Public API","Public API > Member Activity > Tagging","Get Member Tag Tracks","GET","{HM_ServiceAPI_URL}/getmembertagtracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_NewMemberTagID}?Skip={Skip}&Limit={limit}&Sort={Sort}","getmembertagtracks","Implemented","Live through BFF/direct harness","Code + runtime route matrix","Endpoint name is referenced by the Parigo implementation or its audit harnesses."
